run,generation_found
1,28
2,28
3,33
4,34
5,21
6,22
7,26
8,29
9,31
10,33
11,30
12,27
13,31
14,26
15,29
16,31
17,25
18,29
19,34
20,33
21,26
22,29
23,33
24,30
25,30
26,28
27,24
28,29
29,30
30,29
31,27
32,29
33,32
34,30
35,25
36,24
37,32
38,33
39,33
40,32
41,33
42,31
43,27
44,34
45,25
46,25
47,26
48,26
49,27
50,35
51,29
52,37
53,26
54,28
55,27
56,25
57,32
58,33
59,28
60,32
61,28
62,29
63,21
64,28
65,28
66,28
67,32
68,25
69,27
70,32
71,30
72,25
73,23
74,27
75,31
76,28
77,28
78,26
79,27
80,31
81,27
82,30
83,28
84,28
85,30
86,28
87,27
88,33
89,30
90,30
91,31
92,21
93,28
94,32
95,28
96,29
97,28
98,22
99,29
100,25
